country,confirmedCases,reportedDeaths
Spain,220325,25857
Italy,214457,29684
United Kingdom,201101,30076
France,170687,25531
Germany,164807,6996
Belgium,50781,8339
Netherlands,41319,5204
Switzerland,30060,1795
Portugal,26182,1089
Sweden,23918,2941
Ireland,21983,1339
Belarus,19255,112
Austria,15633,608
Poland,14647,723
Romania,14107,858
Ukraine,13184,327
Ukraine,13184,327
Denmark,9938,506
Serbia,9791,203
Norway,7955,215
Czech Republic,7933,262
Finland,5573,252
Moldova,4476,143
Hungary,3111,373
Armenia,2782,40
Greece,2663,147
Azerbaijan,2127,28
Croatia,2119,85
Bulgaria,1778,84
Estonia,1713,55
North Macedonia,1539,88
Slovenia,1448,99
Slovakia,1429,25
Lithuania,1428,48
Latvia,900,17
Cyprus,883,15
Kosovo,856,26
Albania,832,31
Andorra,751,46
Georgia,610,9
San Marino,608,41
Malta,484,5
Faroe Islands,187,0
Monaco,95,4
Liechtenstein,82,1
Vatican City,11,0
